Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
4799,6/16/2005,0,SOCIAL TYPES,400,15,6,10.7,1,0,,"A toff is a member of the upper classes of society, usually in this country",England
6095,2/25/2011,1,TV,800,12,7,14.23,4,0,,Kaley Cuoco plays Sheldon & Leonard's cute neighbor Penny on this sitcom,The Big Bang Theory
5298,9/26/2007,1,FOOTBALL,1600,18,7,10.67,3,0,,The cup representing Canadian football supremacy has this colorful name; a descendent of the tea guy donated it,the Grey Cup
5868,3/3/2010,1,WHAT'S NEXT ON THE LIST?,800,8,3,9.95,2,0,,"British monarchs: George V, Edward VIII, George VI...",Elizabeth II
5514,7/24/2008,1,POETIC FORMS,1600,12,4,9.5,1,0,,Each line of a sonnet typically contains 5 of these metrical feet,iambs
5773,10/21/2009,0,GRANDMA,1000,16,9,13.31,4,0,,"Lucy Maud Montgomery based this ""colorful"" novel on living in Canada with her grandma at Cavendish",Anne of Green Gables
6110,3/18/2011,1,ME & MS. JONES,1600,18,9,12.84,2,0,,"Like Dylan Thomas, she is from Swansea & named her production company Milkwood after one of Thomas' plays",Catherine Zeta-Jones
6284,1/5/2012,1,"""MAN""LY MOVIES",400,17,9,12.42,2,0,,In 2010 Robert Downey Jr. reprised his role as the heavy metal hero in this movie's sequel,Iron Man
5884,3/25/2010,1,HOW'S YOUR CONSTITUTION?,2000,12,5,11.36,2,0,,"The constitution's last & shortest article, it spells out the ratification process",the seventh
4762,4/26/2005,1,SANTA'S EIGHT TINY REINDEER,2000,3,2,14.31,1,0,,Lightning in Munich,Blitzen
5382,1/22/2008,0,VETERAN-ARY MEDICINE,800,19,7,10.67,4,0,,"Reliving trauma, avoiding reminders of it & general irritability are the 3 main symptoms of PTSD, short for this",post traumatic stress disorder
5347,12/4/2007,0,THE BIG APPLE,400,22,4,7.69,3,0,,"On the NYC subway this train will also take you to Harlem, but then it splits off & heads for Yankee Stadium",the B train
6102,3/8/2011,1,ABBREV.,1200,11,7,14.23,1,0,,The computer language COBOL is an acronym: Common this Oriented Language,Business
4520,4/9/2004,0,"PENCIL, PEN OR SWORD",800,9,2,7.59,1,0,,The one a scrivener normally wouldn't use at work,sword
5939,6/10/2010,1,JASON BORN,400,16,5,9.36,2,0,,"This Jason who played Brandon on ""Beverly Hills 90210"" was born with the middle name Bradford",(Jason) Priestly
5577,12/2/2008,1,NOBEL LITERATURE PRIZE WINNERS,2000,4,2,11.73,3,0,,1978: This Yiddish tale-teller,Isaac Basehevis Singer
5427,3/25/2008,0,WHERE'D YA GO TO SCHOOL?,800,10,4,11.1,1,0,,Dick Cheney (bachelor's & master's): the University of this state,Wyoming
5800,11/27/2009,0,MUSICAL INSTRUMENTS,400,12,6,12.13,2,0,,Ohana makes some models of this stringed instrument in a pineapple shape,a ukulele
6190,7/8/2011,0,RECESS,400,10,3,8.87,2,0,,In the NBA these recesses can be regular or 20-second,a time-out
6052,12/28/2010,1,LOONEY TUNES,2000,14,4,8.84,2,0,,"I say, he got above-the-title billing in the punningly named ""Of Rice and Hen""",Foghorn Leghorn
4834,9/22/2005,0,TRANSPORTATION,400,22,5,8.32,1,0,,"France II, at 419 feet the largest merchant sailing ship ever built, also had 2 of these to back up the sails",engines
4229,1/9/2003,0,U.S. GEOGRAPHY,600,17,5,9.12,1,0,,"A point 5 miles northeast of Murfreesboro is smack dab in the middle of this ""Volunteer State""",Tennessee
4182,11/5/2002,0,ALPHABETIC HOMOPHONES,600,11,4,9.92,2,0,,A football is placed on it in preparation for the kickoff,tee (T)
5364,12/27/2007,0,WE STAND,600,21,4,8.04,2,1,http://www.j-archive.com/media/2007-12-27_J_13.jpg,"The stoat, also called this, is a type of weasel, & in wintertime is known for its white coat",an ermine
5090,10/27/2006,1,HYMNS & HERS,400,23,4,6.95,2,0,,"On a 1972 record she sings ""What a friend we have in Jesus""; Rev. C.L. Franklin, her dad, is on the album too",Aretha Franklin
5434,4/3/2008,1,WHAT I REALLY WANT TO DO IS DIRECT,800,24,7,9.42,2,1,http://www.j-archive.com/media/2008-04-03_DJ_27.jpg,"(Hi, I'm Joel Schumacher.) I was encouraged to direct by this man when I was his costume designer on ""Sleeper"" & ""Interiors""",Woody Allen
5229,5/10/2007,1,POP CULTURE,800,18,6,9.35,1,0,,Hug it out! Ari Gold on this HBO series was based in part on real-life agent Ari Emanuel,Entourage
5290,9/14/2007,0,JUDY,600,18,6,9.79,1,0,,Judy Reyes is on staff at Sacred Heart hospital as nurse Carla Espinosa on this Zach Braff sitcom,Scrubs
4802,6/21/2005,1,"VOLCANO, ISLAND OR PENINSULA",1600,1,1,19.48,1,0,,Kamchatka,peninsula
4250,2/7/2003,1,GEOMETRY,1200,29,7,9.07,1,0,,"(Jimmy of the Clue Crew reports standing in front of a chalkboard)  Angles 1 & 2 are angles of this type, as they add up to 180 degrees",supplementary
5447,4/22/2008,1,CLASSIC FOREIGN FILMS,1200,16,7,11.75,2,0,,"Polish filmmaker who directed ""Knife in the Water"" in Poland & ""Rosemary's Baby"" in the U.S.",(Roman) Polanski
5057,9/12/2006,1,AT THE MOZART HOUSE,800,16,6,10.35,1,0,,In 2006 a record number came to the Mozarthaus to celebrate this anniversary of Mozart's birth,250th
5086,10/23/2006,0,"THE ""CAT""",400,16,6,10.35,2,0,,"Henny Youngman began his career as a violinist playing the ""Borscht Belt"" in these N.Y. mountains",the Catskills
6283,1/4/2012,0,SCRIPT DOCTORS,600,13,5,10.35,2,0,,1964: Peter Sellers as this German scientist who helped us love the bomb,Dr. Strangelove
4840,9/30/2005,0,EAGLE-EYED,600,8,4,11.93,1,0,,"In 1969 he commanded the ""Eagle"" lunar module",Armstrong
5925,5/21/2010,0,MISSING PERSONS,400,18,5,9.64,1,1,http://www.j-archive.com/media/2010-05-21_J_12.jpg,"In 1943, Tehran was the stage for a photo of FDR, Churchill & this other leader",Stalin
6288,1/11/2012,1,"GO ""SOUTH""",800,13,6,11.57,2,0,,...to this Indiana college town that was originally called Big St. Joseph Station,South Bend
5022,6/13/2006,1,M.D. TV,1200,16,2,6.59,1,1,http://www.j-archive.com/media/2006-06-13_DJ_03.jpg,The surgeon seen here is as primitive as can be on this ABC show,Lost
5079,10/12/2006,1,NEWMAN'S OWN,1600,16,8,12.33,2,0,,Film in which washed-up lawyer Newman redeems himself by taking a medical malpractice case to trial,The Verdict
5933,6/2/2010,0,BOSTON ILLEGAL?,400,20,8,10.94,1,0,,"The Boston Port Bill, part of 1774's Intolerable Acts, wanted to recoup payment for the illegal destruction of this potable",tea
5518,9/10/2008,0,LET'S SPEAK PORTUGUESE,200,18,4,8.04,3,0,,"Ate amanha, part of a farewell, means this; it doesn't sound so different from the same in Spanish",see you tomorrow
5692,5/12/2009,0,TV GEOGRAPHY,200,7,3,10.75,1,0,,"""Medium"" heats up in this Arizona city",Phoenix
4857,10/25/2005,1,"THE ""O.C.""",400,10,4,10.45,2,0,,These crispy snacks were created for a certain mollusk soup,oyster crackers
5648,3/11/2009,0,MOVIES' LAST LINES,600,10,0,0.45,3,1,http://www.j-archive.com/media/2009-03-11_J_08.mp3,"1941: ""The, uh, stuff that dreams are made of""",The Maltese Falcon
5027,6/20/2006,1,SUPERHERO BEFORE & AFTER,800,18,5,8.92,3,0,,"1991 Madonna pic highlighting her ""Blond Ambition"" tour in which she fights crime as a blind Marvel acrobat",Truth or Daredevil
4466,1/26/2004,1,"ON ""Q""",1600,13,4,9.14,2,0,,A senior barrister in an English high court is one of these counsels,Queen's counsel
5695,5/15/2009,0,SCINTILLATING SYLLABUS,200,15,5,9.27,2,0,,At the Univ. of Wisconsin you can take a course analyzing these daytime TV programs,soap operas
4468,1/28/2004,1,HENRY WHO?,2000,5,5,19.67,2,0,,"Sculpted Lincoln Center's ""Reclining Figure""",Henry Moore
5258,6/20/2007,0,TV LAND'S TOP QUOTES,600,2,1,11.63,2,0,,"""You're fired""",(Donald) Trump
5966,7/19/2010,1,PICK A PART,800,3,1,9.05,2,0,,2008: Harvey Milk,Sean Penn
5123,12/13/2006,1,"I THINK I'VE HEARD OF ""M""",1200,14,6,11.1,1,0,,This Italian excited the world by engineering wireless reporting of the 1899 America's Cup,Marconi
5360,12/21/2007,1,FROM A TO E,800,12,1,5.55,1,0,,"It's the type of ""rush"" that prepares you for ""fight or flight""",adrenaline
5728,7/1/2009,1,NEW CONGRESSMEN & GOVERNORS,1600,15,8,12.8,2,0,,In New England Jeanne Shaheen defeated John Sununu to become this state's first female senator,New Hampshire
4495,3/5/2004,1,SEW WHAT?,1600,16,1,5.43,2,0,,You may be able to let this down & face it if your skirt's too short,the hem
4142,9/10/2002,1,UP WORDS,800,14,1,5.46,2,0,,"It's the type of music played here, from the place you might hear it",Elevator music
5337,11/20/2007,0,MOVIE PREMIERES,800,20,4,7.79,2,0,,"In 2006 the queen attended the world premiere of this James Bond film but skipped the premiere of ""The Queen""",Casino Royale
5119,12/7/2006,1,"""C"" PLUS",800,12,6,12.79,1,0,,"""The Battle Road"" linked Boston & Cambridge with this famous battle site",Concord
5438,4/9/2008,0,QUOTATIONS,400,19,5,8.26,1,0,,"Winston Churchill said it's good for the uneducated ""to read books of quotations."" This one ""is an admirable work""",Bartlett's
4780,5/20/2005,0,RUSSIAN GEOGRAPHY,400,20,5,8.58,2,0,,"This 2,194-mile river is 748 feet above sea level at its source, 92 feet below sea level at its mouth",the Volga
5222,5/1/2007,0,"YOU SEE ""LA""",800,6,3,11.83,2,0,,Another name for a cowboy's lasso,a lariat
6035,12/3/2010,0,REGION-ISMS,400,6,2,9.2,1,0,,"Monopoly has cards called this ""chest""",community
4936,2/13/2006,0,ALLITERATION STATION,1000,14,7,12.23,3,0,,Daisy Buchanan is the object of a racketeer's desire in this 1925 Fitzgerald novel,The Great Gatsby
6199,7/21/2011,1,MOUNTAINS,1600,13,5,10.35,2,0,,"Now dormant, this volcano in Eastern Turkey last erupted on June 2, 1840",Mount Ararat
6248,11/16/2011,1,SWEET TALK,1600,15,8,12.8,1,0,,"Milton called this lover of Narcissus ""sweetest nymph, that liv'st unseen within thy airy shell""",Echo
5824,12/31/2009,0,HISTORICAL WHAT WERE THEY THINKING?,400,16,4,8.38,1,0,,"On Oct. 12, 1492 this captain thought he was on an island near Japan --not exactly",Columbus
5898,4/14/2010,0,ISSUE NO. 1,600,18,7,10.67,2,0,,"The 1801 first issue said this NYC tabloid planned ""to inculcate just principles in religion, morals and politics""",the Post
4337,6/10/2003,1,"ENDS IN ""X""",800,7,1,6.24,1,0,,It's the big puddy tat seen here,lynx
4718,2/23/2005,1,"""GRAY"" MATTER",1600,10,4,10.45,3,0,,"Sciurus carolinensis, it pretty much always feels like a nut",a gray squirrel
5228,5/9/2007,0,"CROSSWORD CLUES ""T""",400,4,2,14.31,1,0,,Hatchets & hacksaws (5),tools
4557,6/1/2004,0,1995,1000,20,10,12.52,2,0,,"John Filo finally met Mary Ann Vecchio Gillum, 25 years after taking a famous photo of her at this university",Kent State
5006,5/22/2006,0,CLASSIC TV QUOTES,400,9,3,9.35,3,0,,"""Sweathog motto: Whatever it is, I didn't do it""","Welcome Back, Kotter"
4271,3/10/2003,0,PILLOW TALK,600,20,7,10.16,5,0,,Tradition says after a wedding a single girl puts this under her pillow so she'll dream of a future spouse,a slice of wedding cake
4191,11/18/2002,1,WORLD HISTORY,400,15,5,9.97,2,0,,In 1472 this island group known for its pony & sheepdog was annexed to Scotland,Shetland Islands
4513,3/31/2004,1,eBay,800,16,4,8.84,1,0,,"I snagged a ""Speed Racer"" & a ""Kung Fu"" one of these -- sorry, no thermos",lunchbox
5111,11/27/2006,0,WHAT ABOUT ESTONIA?,1000,14,10,16.43,1,0,,"This movement to faithfully depict behavior included George Eliot, Flaubert & Estonian novelist Tammsaare",Realism
4351,6/30/2003,0,KELLY GIRLS,200,15,5,9.64,2,0,,"She could title her autobiography ""I Married a Sweathog"" as she is Mrs. John Travolta",Kelly Preston
6052,12/28/2010,1,COMPLETE THE BOOK TITLE,2000,4,3,19.58,1,0,,"James Patterson: ""Double ___""",Cross
4975,4/7/2006,1,HOTEL CALIFORNIA,1600,20,6,9.37,2,0,,"John Belushi could have checked out of this Hollywood Hotel any time he liked, but he died there in 1982",(Chateau) Marmont
4973,4/5/2006,0,COMPOUND WORDS,200,13,6,11.57,1,0,,"April brings the National Safety Week for these places--uh-oh, that swing's looking rusty",playgrounds
4959,3/16/2006,0,TWELFTH NIGHT,400,18,7,10.67,1,0,,The traditional present for your twelfth wedding anniversary is this fabric created by a type of moth larva,silk
5520,9/12/2008,0,IT'S A CRIME!,400,15,6,11.1,1,0,,The unlawful act of abducting & carrying away a person against his or her will,kidnapping
4712,2/15/2005,1,THE HUMAN BODY,800,17,3,7.27,1,0,,"The name of this snail-shell-shaped part of the inner ear is from the Latin for ""snail shell""",cochlea
6140,4/29/2011,1,ALL EARS,1200,50,15,9.76,3,1,http://www.j-archive.com/media/2011-04-29_DJ_18.wmv,"(Kelly of the Clue Crew shows an anatomical animation on the monitor.)  When you come down from high elevations, the air pressure outside your ear can be greater than inside; swallowing can push air from the nasal cavity through this tube into the ear, causing a popping sound",the eustachian tube
4525,4/16/2004,0,20th CENTURY AMERICA,600,14,2,6.59,1,0,,"Back in 1960, 95% of all soft drinks were sold in these reusable containers",bottles
5560,11/7/2008,0,NAME THE BOOK,400,18,6,9.79,4,0,,"""They reached the carriage-drive at Toad Hall to find, as the badger had anticipated, a shiny new motor-car""",Wind in the Willows
5576,12/1/2008,1,"A ""P.C."" CATEGORY",1200,9,5,12.86,2,0,,Total income divided by population gets you this figure,per capita
4464,1/22/2004,0,TAKE IN ORDER,600,6,3,11.83,1,0,,"Speaking familially, the opposite of bro",sis
5586,12/15/2008,1,SPORTS STATUES,800,20,4,7.79,2,0,,"A quote on his Chicago statue reads, ""He stood before us, suspended above the earth, free from all its laws""",Michael Jordan
6137,4/26/2011,0,SPORTS-POURRI,600,17,7,10.56,2,0,,This MVP from Akron considered petitioning to enter the NBA draft after his junior year...of high school,LeBron James
5784,11/5/2009,1,PUBERTY RITUALS,2000,20,7,10.16,1,0,,An essay by Walter Ong looks at the learning of this language as a puberty rite for well-off Renaissance boys,Latin
6116,3/28/2011,1,"ELEMENT, SPEL-EMENT",800,3,3,19.58,3,0,,"Boron, aluminum, potassium",B Al K
5152,1/23/2007,1,ALBUMS,800,11,3,8.49,2,0,,"In 1994 these rappers had ""Ill Communication"", a No. 1 album",Beastie Boys
5375,1/11/2008,0,WE CAN DANCE IF WE WANT TO,600,10,2,7.59,2,1,http://www.j-archive.com/media/2008-01-11_J_03.wmv,"Named for a city, it's a dance seen here",the Charleston
4953,3/8/2006,1,SOUNDS LIKE SPORTS EQUIPMENT,800,12,6,11.83,1,0,,"4-letter first name used by Mr. Romney, the current governor of Massachusetts",Mitt
5738,7/15/2009,0,COOKBOOKS FOR KIDS,600,19,7,10.4,1,0,,"The ""Mom and Me Cookbook"" tells how to put faces on these with typical toppings (olive noses! tomato eyes!)",pizza
4670,12/17/2004,0,ALL THE GLITTERING PRIZES,400,15,8,12.8,2,0,,"In 1982 President Reagan awarded this ""God Bless America"" singer the Presidential Medal of Freedom",Kate Smith
4897,12/20/2005,0,CELL,800,16,4,7.98,1,0,,This cellphone maker has jumped back to the No. 2 spot worldwide by a Razr's edge,Motorola
4950,3/3/2006,1,A MICHAEL DOUGLAS FILM FESTIVAL,1200,14,5,9.97,3,0,,"1995: ""The White House is the single greatest home-court advantage in the modern world""",The American President
4955,3/10/2006,0,FAR OUT,1000,16,9,12.92,2,0,,"Named in the 17th c. by Dutchman Petrus Plancius, the constellation Monoceros represents this mythical animal",a unicorn
5553,10/29/2008,0,AND ON GUITAR...,1000,3,2,14.31,3,0,,"Izzy Stradlin, Slash",Guns N' Roses
4515,4/2/2004,1,ROYAL LANDMARKS,800,16,8,12.8,1,0,,In 2001 at this city's Domkirke Crown Prince Haakon married a single mother & former waitress,Oslo
5431,3/31/2008,0,"CROSSWORD CLUES ""F""",1000,7,3,11.83,1,0,,It's spoken in Hameenlinna & Hyvinkaa (7),Finnish
4562,6/8/2004,0,COLORS OF THE RAINBOW,600,3,1,9.05,1,0,,Naive or inexperienced,green
4583,7/7/2004,1,MARVEL COMICS HEROES,1200,2,1,11.63,2,0,,"""The Uncanny""",the X-Men
4716,2/21/2005,0,NEW YORK ON FILM,800,14,7,12.23,4,0,,All of Manhattan has become a maximum-security prison in this futuristic Kurt Russell thriller,Escape from New York
4269,3/6/2003,0,BRITISH ROYAL DADS,200,7,3,10.75,2,0,,He fathered the current Prince of Wales,Prince Philip
5464,5/15/2008,1,2 Ds & 1 C,1200,5,2,10.2,2,0,,Another name for a crayfish,a crawdad
4933,2/8/2006,0,MATH,600,12,4,9.5,2,0,,"The longest side of a right triangle, it's opposite the right angle",the hypotenuse
4300,4/18/2003,1,"SOMEWHERE, B.C.",400,22,8,10.69,1,0,,A World's Fair opened in this British Columbia city in May 1986 to great fanfare & a fainting spell by Princess Diana,Vancouver
5772,10/20/2009,1,THE COMEBACK KIDS,800,18,6,10.05,3,0,,"Once Doogie the teen doctor, he resuscitated his career by playing himself in the ""Harold & Kumar"" films",Neil Patrick Harris
5531,9/29/2008,1,ANCIENT GREEK WRITERS,1200,15,4,8.22,1,0,,"The playwright Menander wrote, ""Marriage, if one will face the truth, is... a necessary"" this",evil
4243,1/29/2003,0,A WINDY CATEGORY,800,20,2,6.21,1,0,,"It's best to bring your boat in on this side of the dock, meaning the side the wind reaches last",leeward
4456,1/12/2004,0,LETTER & LETTER,1000,12,5,10.81,1,0,,Xerox produces about 70% of the technology it develops in these labs,R&D
4771,5/9/2005,0,THE BIBLE BELT,400,15,6,10.7,1,0,,"In Psalms ""We wept, when we remembered"" this, also preceding a ""Crossroads"" near Charlottesville, Virginia",Zion
5078,10/11/2006,0,RELIGION IN ART,600,11,1,5.84,1,1,http://www.j-archive.com/media/2006-10-11_J_08.jpg,"This Dutchman's 1655 ""Head of Christ"" is seen here",Rembrandt
5538,10/8/2008,1,SMALL STATE CAPITALS,2000,6,2,9.2,2,0,,It's the seat of Kennebec County,Augusta (Maine)
6252,11/22/2011,1,DANCING WITH THE STARS WINNERS,1600,18,4,8.19,2,0,,"""She's got the look"", she's got the co-host gig & she's also got the trophy from season 7",Brooke Burke
6009,10/28/2010,0,TOM JONES,1000,18,8,11.55,1,0,,"To benefit Afghan refugees, Tom duetted on ""Delilah"" in Modena, Italy with this one of the three tenors",Pavarotti
5022,6/13/2006,1,WORD LORE,1200,24,5,8.12,2,0,,"One of the very few English words with 6 consonants in a row, it's a cord that lets you open a door from outside",a latchstring
4856,10/24/2005,0,BASEBALL HISTORY,1000,21,4,7.79,1,0,,"Tom Connolly & Bill Klem, ""The Old Arbitrator"", were the first men to enter the Baseball Hall of Fame as these",umpires
4708,2/9/2005,0,ADVICE,400,16,5,9.36,6,0,,"This type of ""contract isn't worth the paper it's written on"" is attributed to Sam Goldwyn",a verbal contract (oral contract accepted)
4666,12/13/2004,0,RHYME TIME,600,17,7,11.34,3,0,,Varieties of this brand of seasoned coating mix from Kraft include Tangy Honey Glaze & Original Pork,Shake 'n Bake
4549,5/20/2004,1,FRENCH LITERATURE,800,15,9,13.85,2,0,,"This 19th century sci-fi writer foretold the artificial satellite in his story ""The Begum's Fortune""",Jules Verne
4316,5/12/2003,0,DEADLY DEVICES,1000,14,7,12.78,1,0,,"A bolt-action rifle & a pistol are named after this man from Oberndorf, Germany",Mauser
4933,2/8/2006,1,GET INVOLVED,2000,11,5,11.36,3,0,,"Help other kids or adults become literate with RIF, this organization",Reading Is Fundamental
6079,2/3/2011,0,4-SYLLABLE WORDS,800,17,8,11.91,1,0,,9-letter adjective literally applying to one in the womb; it's used of a project just getting started,embryonic
4155,9/27/2002,1,THE END OF THE LINE,400,12,6,12.79,2,0,,Mike Ditka & Kellen Winslow played this position on football's offensive line,tight end
6225,10/14/2011,0,SHOP TALK,1000,13,4,9.14,1,0,,This department store uses a 5-pointed star as the apostrophe in its name,Macy's
4148,9/18/2002,0,4-LETTER WORDS,600,18,7,11.34,1,0,,This protein rich food is coagulated from an extract of soybeans & used in salads & cooked foods,tofu
5976,9/13/2010,1,MOVIE DIRECTORS,1600,15,7,11.75,2,0,,"After seeing ""Eraserhead"", executive producer Mel Brooks tapped this man to direct ""The Elephant Man""",(David) Lynch
4549,5/20/2004,0,PEOPLE,400,16,7,11.34,2,0,,In 1974 People magazine's first African-American cover subject was this actress who played Miss Jane Pittman,Cicely Tyson
5682,4/28/2009,0,GRANDMA'S LOTTO NUMBERS,1000,16,6,9.95,1,0,,"For Kristi's birthday, Gram chose this (Dr. Pepper is a ""unique blend of"" this many ""flavors"")",23
4779,5/19/2005,1,18th CENTURY POTPOURRI,1200,17,5,8.7,1,0,,"Kant's question ""Was ist Aufklarung?"" translates as ""What is"" this, another term for the Age of Reason",Enlightenment
5379,1/17/2008,0,MUSIC,1000,41,10,8.73,2,1,http://www.j-archive.com/media/2008-01-17_J_18.jpg,"(Cheryl of the Clue Crew presents some musical notation.)  Ledger lines are for notes that don't fit on the 5-line staff, like this note that's one line below the treble staff, or one line above the bass staff",middle C
5004,5/18/2006,0,3 OF A KIND,800,3,3,19.58,1,0,,"Innocent, Formosus, Celestine",popes
5482,6/10/2008,1,TRACK & FIELD,400,8,2,7.98,2,0,,It's held against the neck before it's put,the shot
4498,3/10/2004,1,THEY USED TO BE IN CHARGE,1600,2,2,19.53,1,0,,Anastasio Somoza,Nicaragua
5125,12/15/2006,0,"NUMBER, PLEASE",200,8,4,11.93,1,0,,Number of steps in the Alcoholics Anonymous program,12
5366,12/31/2007,1,GREAT ALEXANDERS,1200,13,7,12.78,2,0,,"In 1990 Russia restored citizenship to this Nobel Prize-winning author of ""Cancer Ward""",Aleksandr Solzhenitsyn
5359,12/20/2007,1,"""B"" IS FOR BARD",800,12,5,10.81,1,0,,"He is described by the witches as ""lesser than Macbeth, and greater""",Banquo
4548,5/19/2004,0,"TELL ME ABOUT ""IT""",200,19,4,8.04,2,0,,Get your hands on one of these & you can make a living like Eric Clapton or Jose Feliciano,a guitar
5233,5/16/2007,1,"THAT'S ""ODD""",400,13,8,14.76,1,0,,"People considered as readily available & of little value; it usually follows ""cannon""",fodder
4625,10/15/2004,1,SWEET SIXTEEN,2000,19,2,6.4,4,1,"http://www.j-archive.com/media/2004-10-15_DJ_05.jpg, http://www.j-archive.com/media/2004-10-15_DJ_05.mp3",This type of bassoon would be 16 feet long if you unfolded it all the way,double bassoon (or contrabassoon)
4523,4/14/2004,0,MAP HAPPY,800,4,3,15.68,1,0,,Nation where Bolivar's buried,Venezuela
5217,4/24/2007,0,TV JAILBIRDS,800,31,11,10.74,1,1,http://www.j-archive.com/media/2007-04-24_J_14.jpg,"(Hi, I'm Christopher Meloni of Law & Order: SVU.)  I've been on both sides of the law--I played devious serial killer Chris Keller on this HBO prison drama",Oz
4087,5/14/2002,1,HISTORY HODGEPODGE,2000,19,8,11.23,1,0,,The life of author Plutarch began during the reign of this emperor whose life was chronicled by Robert Graves,Claudius
5340,11/23/2007,1,COMBAT!,800,19,3,7.07,2,0,,"In karate, a hihi is a strike with this body part; nudge, nudge, wink, wink, know that I mean?",an elbow
5502,7/8/2008,0,SCIENCE,1000,15,9,13.85,1,0,,Shock researcher Walter Cannon coined this word for an organism's ability to maintain internal equilibrium,homeostasis
6190,7/8/2011,1,CUTE & CUDDLY,2000,24,8,11.55,2,1,"http://www.j-archive.com/media/2011-07-08_DJ_19.jpg, http://www.j-archive.com/media/2011-07-08_DJ_19a.jpg, http://www.j-archive.com/media/2011-07-08_DJ_19b.jpg","The Labrador retriever has a strong, rudder-like tail named for this sleek river mammal of the weasel family",an otter
5637,2/24/2009,1,FUN STUFF,2000,9,3,9.35,2,0,,"Sports car video game that's ""great touring"" in Italian",Gran Turismo
4973,4/5/2006,1,OLD HISTORY,1600,20,6,8.87,1,0,,"On Sept. 2, 31 B.C. the forces of Octavian defeated Mark Antony's troops at the battle of this Greek promontory",Actium
4847,10/11/2005,0,GAMES PEOPLE PLAY,800,18,4,8.04,1,0,,"This ""game for your whole brain"" features a big purple brain in the center of the game board",Cranium
5873,3/10/2010,1,ARTISTS & THEIR SUBJECTS,1600,17,7,10.98,2,0,,Around 1927 this American known for his mobiles created a portrait of Josephine Baker out of wire,(Alexander) Calder
4253,2/12/2003,0,BABYSITTING TIPS,200,22,6,9.19,1,0,,"Ask if the little darlings have any of the food type of these; milk, egg & peanut are among the most common",allergies
5346,12/3/2007,1,WHAT'S IN AN ARTIST'S NAME?,2000,18,8,11.55,2,0,,"Jerome Van Aken of ""Garden of Earthly Delights"" fame took this name in honor of his hometown, 'S-Hertogengosch",Hieronymus Bosch
4236,1/20/2003,1,FICTIONAL PLACES,2000,14,8,13.35,1,0,,"Samuel Butler's creation of this title place was influenced by Darwin's ""Origin of Species""",Erewhon
6003,10/20/2010,1,THE PULITZER PRIZE FOR DRAMA,1200,18,5,8.92,1,0,,"For Frank Gilroy in 1965, the subject was winning when ""The Subject Was"" these took home a Pulitzer",Roses
5775,10/23/2009,0,INAUGURAL ADDRESSES,200,19,8,11.23,3,0,,"In 1985 Ronald Reagan said that this nation ""has conducted the greatest military buildup in the history of man""",the Soviet Union
5652,3/17/2009,0,ADVERBIALLY YOURS,600,14,6,11.1,1,0,,"For burial at Arlington National Cemetery, a veteran must have been discharged this way",honorably
4300,4/18/2003,0,"SOMETIME, B.C.",800,17,4,7.98,2,0,,"He died violently around 3,000 B.C. & lay in a glacier until he was found in 1991",the Iceman
5683,4/29/2009,1,TV OPENING WORDS,1200,22,1,1.81,2,0,,"1983: ""...if you have a problem, if no one else can help, and if you can find them, maybe you can hire...""",The A-Team
5158,1/31/2007,0,ERIC IS SO TALENTED,400,7,2,8.5,2,0,,"He was ""Will"" to Debra Messing's ""Grace""",Eric McCormack
5211,4/16/2007,1,NOT QUITE BEFORE & AFTER,800,8,6,15.88,4,0,,Vodka-based morning cocktail enjoyed with TV's Bundy family,Bloody Married... with Children
6036,12/6/2010,1,CHRIS & TELL,1600,12,3,8.49,3,0,,"The films ""Zathura"" & ""Jumanji"" are based on books by this Chris",Chris Van Allsburg
4209,12/12/2002,1,REIGN DELAY,800,20,8,11.23,1,0,,"King David II of this country, who spent decades in exile & in prison, was Robert the Bruce's eldest son",Scotland
4395,10/17/2003,0,MTV MOVIE AWARDS: BEST KISS,600,27,5,8.03,2,0,,"(Hi, I'm Vivica Fox)  In 1997 this actor & I won the MTV Movie Award for ""Best Kiss"" for the kiss we shared in ""Independence Day""",Will Smith
6202,7/26/2011,0,SIDES,800,10,5,12.03,2,0,,"Side 1 of his album ""Midnight Love"" provided ""Sexual Healing""",Marvin Gaye
4352,7/1/2003,1,CELEBRITY BOOKS,800,15,8,13.35,2,0,,"""Ash Wednesday"" is a novel about love & marriage by this actor, Uma Thurman's husband",Ethan Hawke
4571,6/21/2004,0,"INSECT, ARACHNID OR GASTROPOD",400,3,2,14.31,1,0,,The daddy longlegs,arachnid
4583,7/7/2004,1,SUBWAY STOPS,1600,16,8,12.33,3,0,,"The Metro stop for Montreal's Olympic stadium is Pie-IX, named for this 19th century religious figure",Pope Pius IX
5934,6/3/2010,1,CABLE NETWORKING,1600,4,2,14.31,3,0,,"""Sanctuary"" & ""Ghost Hunters""",the Syfy channel
4981,4/17/2006,0,"LEFT, RIGHT, CENTER",800,9,3,9.95,2,0,,It has 3 sides & contains a 90-degree angle,right triangle
4517,4/6/2004,1,BE AFRAID...BE VERY AFRAID,1200,11,2,7.05,3,0,,Someone could scare these out of a 1987 James Bond film,The Living Daylights
