,Show,AirDate,Round,Category,Value,qLength,qHardWords,qDaleChall,aLength,hasMedia,mediaLink,Question,Answer
25918,5965,7/16/2010,Jeopardy!,CONAN THE DOCUMENTARIAN,800,18,5,8.92,2,False,,2 high school basketballers were the subjects of this 1994 Oscar-nominated film; that game is boring without swords,Hoop Dreams
87155,5255,6/15/2007,Double Jeopardy!,GROUPS,2000,6,1,6.57,1,False,,"Up, down, strange, charm, bottom, top",quarks
100188,5176,2/26/2007,Jeopardy!,LITERARY LONDON,1000,35,15,11.83,2,True,http://www.j-archive.com/media/2007-02-26_J_10.jpg,"(Kelly of the Clue Crew is with some blooms in Bloomsbury, London.)  In Defoe's tale about this plucky title lass, she visits her secret lover's Bloomsbury home after learning of his illness",Moll Flanders
88371,4777,5/17/2005,Jeopardy!,"IN THE ""GN""OW",1000,10,1,6.01,1,True,http://www.j-archive.com/media/2005-05-17_J_05.jpg,The bands seen here are typical of this,gneiss
76777,6093,2/23/2011,Double Jeopardy!,10-LETTER WORDS,1600,10,2,7.29,1,False,,"""V"" know it's another term for a respirator; do you?",ventilator
7994,5110,11/24/2006,Double Jeopardy!,BEFORE & AFTER,1200,11,5,11.36,3,False,,"Garp's literary creator who goes into songwriting with ""God Bless America""",John Irving Berlin
82869,4640,11/6/2004,Jeopardy!,"TANGLED UP IN ""BLUE""",200,19,7,10.4,3,False,,Legend has it Gershwin had to write this famous piece in 3 weeks because he forgot about a deadline,Rhapsody in Blue
32776,5968,7/21/2010,Jeopardy!,"GOING FOR ""WARD""",200,10,3,8.87,2,False,,Former name for what we today call a flight attendant,a stewardess
36162,4179,10/31/2002,Jeopardy!,SCULPTURE,600,12,7,13.44,2,False,,"His suspended abstract sculptures were given the name ""mobiles"" by Marcel Duchamp",Alexander Calder
9595,5174,2/22/2007,Double Jeopardy!,JOHN DONNE,2000,17,5,9.12,2,False,,"On a day's notice on April 3, 1625, Donne preached the first sermon before this new king",Charles I
83347,4717,2/22/2005,Double Jeopardy!,CONTEMPORARIES,800,14,7,12.78,1,False,,"In 1655 Cromwell suppressed a Royalist revolt & this Dutchman painted ""The Slaughtered Ox""",Rembrandt
44617,4846,10/10/2005,Double Jeopardy!,"""B"" IN SCIENCE",400,13,4,9.14,1,False,,This treelike grass with a woody stem is the favored food of pandas,bamboo
5213,4987,4/25/2006,Double Jeopardy!,TONY WINNERS OF THE '50s,400,13,6,11.57,2,False,,Cyril Ritchard hooked a 1955 Tony for playing Captain Hook in this musical,Peter Pan
3334,4506,3/22/2004,Jeopardy!,MAGAZINES,200,16,1,5.42,1,False,,"As the old saying goes, ""An ounce of"" this magazine ""is worth a pound of cure""",Prevention
48186,5863,2/24/2010,Double Jeopardy!,AN AFFAIR TO REMEMBER,2000,22,6,9.19,2,False,,"A 1963 affair (in every sense of the word) rocked the British govt, & led to the resignation of this war secretary",(John) Profumo
17256,5472,5/27/2008,Jeopardy!,GETTING THERE,200,16,4,8.38,2,False,,By definition this type of automobile has a top that can be removed or folded back,a convertible
952,4699,1/27/2005,Jeopardy!,BRIGHT IDEAS,200,17,12,15.63,2,False,,Edwin Budding adapted a rotary shearer used to remove excess fibers from carpets into this outdoor tool,the lawnmower
55866,4301,4/21/2003,Double Jeopardy!,PACIFIC ISLAND CULTURES,1200,19,10,12.89,3,False,,A Pidgin called Tok Pisin is the most widely spoken language in this nation that occupies eastern New Guinea,Papua New Guinea
112992,5385,1/25/2008,Double Jeopardy!,PRESIDENTIAL FACTS,400,17,5,8.7,2,False,,His 1901 White House dinner with Booker T. Washington was played up on his 1904 presidential campaign,Teddy Roosevelt
112208,4553,5/26/2004,Jeopardy!,1990,600,16,7,11.34,2,False,,"In gardening news, a pink climber was named for this mystery author to celebrate her centenary",Agatha Christie
117917,4250,2/7/2003,Jeopardy!,U.S. GEOGRAPHY,400,15,7,11.75,2,False,,"Mapmakers named this Colorado mountain after its 1806 discoverer, who had called it Grand Peak",Pikes Peak
95949,5869,3/4/2010,Double Jeopardy!,MATH-POURRI,1200,17,5,9.36,1,False,,It's the branch of math that deals with the relationships between the sides & angles of triangles,trigonometry
85373,5034,6/29/2006,Jeopardy!,FICTIONAL MEN OF WAR,1000,10,5,12.03,2,False,,"On ""M*A*S*H"" this fictional military doctor's nickname was ""Ferret Face""",Frank Burns
113524,4669,12/16/2004,Jeopardy!,"WHERE IS THAT, PIERRE?",200,11,3,8.49,2,False,,"If you're visiting the Cannes Film Festival, you're on this sea",the Mediterranean
57121,5325,11/2/2007,Jeopardy!,MAGAZINES,400,18,3,7.27,2,False,,"From its founding in 1821 & up to 1942, the Saturday Evening Post was sold at this price",five cents
54357,5691,5/11/2009,Double Jeopardy!,AFRICAN AMERICANS,400,18,3,7.16,2,False,,"As part of a 3-book deal, she'll soon write a memoir about her years as Secretary of State",(Condoleezza) Rice
84754,5273,7/11/2007,Jeopardy!,CELEBRITY PAINTERS,800,17,8,11.91,2,False,,"""Hottest Linda"", one of the many abstract paintings by this ""Fab"" rocker, depicts his first wife sunbathing",Paul McCartney
28825,4746,4/4/2005,Jeopardy!,LAS VEGAS CENTENNIAL,200,16,2,6.59,3,True,http://www.j-archive.com/media/2005-04-04_J_07.jpg,Group name of the Vegas entertainers seen here doing their thing in the '60s,the Rat Pack
103492,4211,12/16/2002,Jeopardy!,POETRY,400,14,3,7.71,2,False,,"The French symbolist poets popularized this, a term whose French translation is vers libre",free verse
118117,5069,9/28/2006,Double Jeopardy!,WE NEED THE MONEY,800,15,5,10.35,1,True,http://www.j-archive.com/media/2006-09-28_DJ_12.jpg,"Before the euro, the money seen here was the currency of this country",Greece
99831,4327,5/27/2003,Jeopardy!,ASTRONOMY'S GREATEST HITS,200,20,4,7.79,1,False,,"In 1995, 2 Swiss astronomers announced the first known one of these to orbit a star other than the sun",planet
59595,5160,2/2/2007,Double Jeopardy!,IT HAPPENED ON GROUNDHOG DAY,1600,11,5,11.36,3,False,,"1848: The Treaty of Guadalupe Hidalgo is signed, ending this war",the Mexican-American War
70543,5446,4/21/2008,Double Jeopardy!,BUSINESS TALK,1600,19,8,11.23,1,False,,"From the Latin for ""to roll together"", it's a corporation of several companies involved in a variety of businesses",conglomerate
1722,5807,12/8/2009,Double Jeopardy!,"CALL ME A""LEX""",800,11,6,13.61,1,False,,Adjective meaning able to bend & snap back readily without breaking,flexible
83776,4670,12/17/2004,Jeopardy!,ALL THE GLITTERING PRIZES,400,15,8,12.8,2,False,,"In 1982 President Reagan awarded this ""God Bless America"" singer the Presidential Medal of Freedom",Kate Smith
41321,5724,6/25/2009,Jeopardy!,WHATEVER!,600,16,5,9.36,1,False,,"The Middle English for ""knife"" gives us the name of this activity, a form of woodcarving",whittling
93076,5455,5/2/2008,Jeopardy!,SCIENCE GUYS,200,18,4,7.77,1,False,,"Born in Germany in 1879, he fled to America in 1932 & became a U.S. citizen in 1940",Einstein
65880,4683,1/5/2005,Jeopardy!,STATE CAPITALS,200,8,4,11.93,1,False,,Nebraska Wesleyan University is in this state capital,Lincoln
80611,5337,11/20/2007,Double Jeopardy!,GET YOUR FACTS STRAIGHT,2000,16,6,10.35,1,False,,"Taco Bell is a fast food franchise; this composer's ""Canon in D"" is popular at weddings",Pachelbel
49191,6221,10/10/2011,Double Jeopardy!,CONSTITUTIONAL NO-NOs,800,7,2,8.5,1,False,,No law respecting an establishment of this,religion
65521,5445,4/18/2008,Double Jeopardy!,WORLD RELIGION,800,11,5,11.36,1,False,,The largest Protestant cathedral in Dublin is named for this saint,Patrick
34787,4747,4/5/2005,Double Jeopardy!,"CROSSWORD CLUES ""F""",2000,4,1,7.78,1,False,,"Bliss, or Necessity (4)",Fort
97781,5087,10/24/2006,Double Jeopardy!,THE JEOPARDY! SWIMSUIT CALENDAR,1200,17,5,10.81,3,True,"http://www.j-archive.com/media/2006-10-24_DJ_28.jpg, http://www.j-archive.com/media/2006-10-24_DJ_28a.jpg","Talk about ""Man & Superman"", this super literary hunk strikes a pose here",George Bernard Shaw
63652,5378,1/16/2008,Double Jeopardy!,HITS OF THE '60s,800,14,5,9.97,2,False,,"Nilsson's 1969 hit ""Everybody's Talkin'"" served as the theme song to this Oscar-winning film",Midnight Cowboy
79055,5148,1/17/2007,Jeopardy!,MANNA FEST,200,10,3,8.87,1,False,,The book of the Bible where manna is first mentioned,Exodus
56775,6198,7/20/2011,Jeopardy!,ATTILA THE HUNGRY,200,13,8,14.76,1,False,,"Attila, enjoy these Sardou: poached, with artichoke hearts, truffles, ham, anchovies & hollandaise",eggs
76433,4130,7/12/2002,Double Jeopardy!,"""E""-MALE",1200,15,7,11.75,2,False,,Partial proceeds from the sale of his Boomer's BBQ sauce goes to cystic fibrosis research,Boomer Esiason
115646,5789,11/12/2009,Double Jeopardy!,DETENTION,1600,18,4,8.04,1,False,,"In 1692 Tituba, a West Indian slave, spent 13 months in jail in this Massachusetts Bay Colony town",Salem
24940,4171,10/21/2002,Double Jeopardy!,COMPOSERS,400,11,2,7.05,2,False,,"Of the 3 B's of classical music, the one born last",Johannes Brahms
68294,5769,10/15/2009,Double Jeopardy!,JAZZ ODYSSEY,2000,17,7,10.98,2,False,,This Dave Brubeck Quartet tune got its title because it's played with an irregular quintuple time signature,"""Take Five"""
19609,6128,4/13/2011,Double Jeopardy!,YOU'RE SO COLORFUL,1200,19,2,6.24,3,False,,"To do this is to bring your own lunch to work from home, not necessarily in a paper sack",to brown bag
99451,5492,6/24/2008,Jeopardy!,ANAGRAMMED ANIMALS,600,7,0,0.35,1,False,,It has its own bowl: hold figs,goldfish
77424,4188,11/13/2002,Jeopardy!,SHOPPING,800,20,6,9.57,2,False,,This retail clothing chain started out as a single store in San Francisco in 1969 that sold jeans & records,The Gap
52474,5834,1/14/2010,Jeopardy!,THE 7 DEADLY SINS,400,13,6,11.57,1,False,,"It's a 4-letter longing to possess something belonging to another, like his Porsche",envy
65705,5529,9/25/2008,Double Jeopardy!,ROCK & ROLL,2000,17,3,6.84,1,False,,"This Seattle group hit No. 1 on the mainstream rock chart with the song ""Black Hole Sun""",Soundgarden
5770,5623,2/4/2009,Jeopardy!,VETERANS' BENEFITS,600,11,6,12.79,2,False,,In 1988 this president created the cabinet-level Department of Veterans Affairs,Ronald Reagan
58631,5141,1/8/2007,Jeopardy!,AIRPORTS,800,17,5,9.12,3,False,,"CDG, the international code for this Paris airport, stands for the name of a former French president",Charles de Gaulle
13705,5055,7/28/2006,Jeopardy!,THAT'S POLITICS,200,25,2,5.52,2,False,,"In July 1804 in the same N.J. place where his son had died in a duel 3 years before, he did not take aim; oops",(Alexander) Hamilton
26842,4467,1/27/2004,Double Jeopardy!,NAUTICAL TERMS,1200,15,4,8.59,1,False,,"This type of Coast Guard vessel, seen here, used to have ""Revenue"" before its name",cutter
41385,4626,10/18/2004,Jeopardy!,ANIMALS,400,7,3,10.75,2,False,,"Pythons are oviparous, meaning they do this",lay eggs
47207,6265,12/9/2011,Jeopardy!,CANCELED!,1000,14,4,8.84,1,False,,"Culprit in the cancellation of the Blue Angels' San Francisco show Oct. 10, 2009",fog
32185,4973,4/5/2006,Double Jeopardy!,THE SUMMER OLYMPICS,400,13,6,11.57,2,False,,In 1960 Abebe Bikila of Ethiopia won this Olympic event hands down--& barefoot,the marathon
30473,6174,6/16/2011,Jeopardy!,BE PREPARED,600,15,7,11.75,3,False,,"Semper paratus, meaning ""always prepared"", is the motto of this branch of the U.S. military",the Coast Guard
83088,6170,6/10/2011,Double Jeopardy!,A THOUSAND,2000,16,7,11.75,2,False,,"This thinker published the bestsellers ""The Hero with a Thousand Faces"" & ""The Power of Myth""",(Joseph) Campbell
39855,5521,9/15/2008,Jeopardy!,REUNIONS,400,14,6,11.57,1,False,,A touching moment for Lewis & Clark was her reunion with her brother Cameahwait,Sacagawea
60312,6165,6/3/2011,Double Jeopardy!,THE CHICAGO CODE,400,16,5,9.64,2,False,,"Grab a vine & swing by this 1906 Chicago-based novel that's been called ""The Vegetarian Manifesto""",The Jungle
54986,5231,5/14/2007,Double Jeopardy!,A DREW BARRYMORE FILM FESTIVAL,1200,29,7,8.47,2,True,http://www.j-archive.com/media/2007-05-14_DJ_04.jpg,"(Another Drew Clue.)  Once upon a time, I starred in this fairy tale flick, met a prince, fell in love & we lived happily...well, you know",Ever After
98536,4924,1/26/2006,Double Jeopardy!,"WALK INTO A ""BAR""",2000,14,6,11.1,2,False,,It's the musical period following the Renaissance that lasted roughly from 1600 to 1750,the Baroque
83369,4589,7/15/2004,Jeopardy!,UNICEF,200,21,4,7.69,1,False,,"UNICEF is the world's largest buyer of these for poor countries, a shot in the arm for the survival of kids",vaccinations
37456,4543,5/12/2004,Jeopardy!,CABLE TALK,400,7,4,13.01,2,False,,He's Sean Hannity's comparatively liberal TV partner,Alan Colmes
86182,4298,4/16/2003,Double Jeopardy!,2001: A CATEGORY ODYSSEY,2000,14,5,9.97,2,False,,"This composer's tone poem ""Thus Spake Zarathustra"" has become virtually synonymous with the film",Richard Strauss
68058,5104,11/16/2006,Double Jeopardy!,IT HAPPENS EVERY YEAR,800,18,6,9.79,1,False,,"Each year this ""Dairyland State"" selects an Alice in Dairyland spokesperson who helps out with June Dairy Month",Wisconsin
41687,6283,1/4/2012,Double Jeopardy!,COLLECTIONS,1200,21,6,9.19,1,False,,A chrome pop-up one from the 1950s was the first in Jens Veerbeck's collection of about 600 of these kitchen appliances,toasters
9287,5816,12/21/2009,Double Jeopardy!,RENAISSANCE ARTISTS,400,17,9,12.84,1,False,,"Even while painting the ceiling of the Sistine Chapel, he still signed his letters ""Sculptor in Rome""",Michelangelo
78111,4175,10/25/2002,Jeopardy!,"""BI"" WORDS",1000,3,1,9.05,1,False,,A 2000th anniversary,bimillennium
52622,5423,3/19/2008,Double Jeopardy!,H2O MUSIC,1600,6,3,11.83,2,False,,Katrina Leskanich fronted this '80s band,The Waves
74180,4529,4/22/2004,Double Jeopardy!,INSECTS,800,13,5,10.35,2,False,,Prehistoric relatives of this insect seen here had wingspans of over 2 feet,the dragonfly
90012,5707,6/2/2009,Double Jeopardy!,IN THE YEAR 2000,400,15,5,9.64,4,False,,Illinois' governor put a moratorium on these in his state due to questions of justice,the death penalty (executions)
31648,4794,6/9/2005,Jeopardy!,PUBLISHERS WEEKLY FICTION BESTSELLERS,200,8,0,0.2,2,False,,"""It"" was No. 1 for him in '86",Stephen King
62241,5655,3/20/2009,Double Jeopardy!,LITERATURE,1200,15,6,10.7,2,False,,"This novel by Richard Wright tells of Bigger Thomas, the product of a Chicago slum",Native Son
24356,6143,5/4/2011,Jeopardy!,"""Y""s UP",200,9,1,5.84,1,False,,"It's 3-letter slang for mouth, as in ""shut your...""",yap
111944,5533,10/1/2008,Jeopardy!,UPDATED LITERATURE?,1000,18,9,12.42,1,False,,Gregor Samsa awakes one day transformed into a gigantic insect; family sprays him with industrial-sized can of Raid,Metamorphosis
17410,6060,1/7/2011,Double Jeopardy!,BORN TO RUN,1200,15,6,10.7,3,False,,Patrick of this illustrious family was first elected to Congress from Rhode Island in 1994,the Kennedy family
84602,5737,7/14/2009,Double Jeopardy!,THE NEW PUPPY,800,12,7,13.44,1,False,,"Puppy will need to be vaccinated against this disease, also called hydrophobia",rabies
71107,4727,3/8/2005,Double Jeopardy!,"BEATING AROUND THE ""BUSH""",1600,6,2,9.2,1,False,,The chivalric code of the samurai,bushido
66862,4488,2/25/2004,Jeopardy!,GREAT OL' SONGS,600,9,5,12.86,1,False,,"""When"" this man ""comes marching home again, hurrah, hurrah""",Johnny
35030,6015,11/5/2010,Jeopardy!,NAME THE SEUSS TITLE,800,17,6,9.63,3,False,,"""Silence!"" the king of the turtles barked back. ""I'm king, and you're only a turtle named Mack""",Yertle the Turtle
33322,5483,6/11/2008,Double Jeopardy!,ANIMALS,1600,12,6,12.79,2,False,,Newborn raccoons lack the familiar tail rings & this famous facial feature,the mask
76526,4623,10/13/2004,Jeopardy!,BYE BYE BIRDIE,800,14,4,8.84,2,False,,The last known Mariana mallard died in 1981 at this San Diego adventure park,Sea World
6417,6014,11/4/2010,Double Jeopardy!,TIME FOR A HAIRCUT,1200,11,4,9.92,2,False,,"A short, layered women's cut is named for thin elfin sprite",a pixie
95916,5869,3/4/2010,Jeopardy!,BUSINESS PEOPLE,400,18,7,10.67,1,False,,"Thank you Akio Morita, who didn't take over the family sake biz but co-founded this electronics giant instead",Sony
111368,6256,11/28/2011,Jeopardy!,GOV. ABBREV.,800,18,1,5.41,4,False,,"Use your GPS to get to the GPO, this place, where you can get all kinds of publications",the Government Printing Office
117473,5212,4/17/2007,Jeopardy!,"YOU'RE MAKING ME ""MAD""",600,10,4,10.45,3,False,,"Hardy's title ""crowd"" that he wanted to get away from",the madding crowd
90269,5833,1/13/2010,Jeopardy!,LITERARY CHARACTERS,200,10,6,13.61,3,False,,Roger Chillingworth is Hester's wronged husband in this 1850 novel,The Scarlet Letter
27704,4206,12/9/2002,Jeopardy!,COLLEGES & UNIVERSITIES,200,12,5,11.36,1,False,,"The university of this state has branches in Birmingham, Huntsville & Tuscaloosa",Alabama
2318,6144,5/5/2011,Jeopardy!,LOW TECH,400,12,3,7.78,1,False,,"Ticonderoga is no. 1 in making no. 2 these, introduced in 1913",pencils
21840,5189,3/15/2007,Jeopardy!,WORLD LEADERS,800,10,4,10.45,2,False,,This president chaired the 2006 G8 conference in St. Petersburg,(Vladimir) Putin
30889,5062,9/19/2006,Double Jeopardy!,THE ORIENT EXPRESS,400,35,11,10.01,3,True,"http://www.j-archive.com/media/2006-09-19_DJ_28.jpg, http://www.j-archive.com/media/2006-09-19_DJ_28.wmv",(Sarah of the Clue Crew stands in a dining car.)  I'm aboard the historic Orient Express; in 1883 its first trip from Paris to this Ottoman capital included a ferry ride,Constantinople (or Istanbul)
17448,5708,6/3/2009,Jeopardy!,LET'S GO TO ITALY,1000,13,5,10.81,1,False,,Check out the Campanile & the Galleria Degli Uffizi in this Tuscan town,Florence
112856,4347,6/24/2003,Jeopardy!,SOAP WORLD,200,20,7,10.22,1,False,,"""Aren't You Glad You Use"" this?  Because now it comes in mountain fresh & tropical escape formulas as well",Dial
19897,5772,10/20/2009,Double Jeopardy!,5 OTHER SENSES,2000,19,3,7.07,1,False,,"On June 9, 1954 Joseph Welch asked Joe McCarthy, ""Have you no sense of"" this ""sir, at long last?""",decency
93896,5293,9/19/2007,Double Jeopardy!,FAIRIES,400,22,5,8.32,3,False,,It's estimated that the amount left by this fairy has grown from 25 cents to around 2 over the past 25 years,the tooth fairy
31194,4145,9/13/2002,Double Jeopardy!,LITERARY TRANSLATIONS,2000,14,6,11.1,5,False,,"The weighty ""Nesnesitelna Lekhost Oyti"" (in Czech) or ""L'Insoutenable Legerte de l'Etre"" (in French)","""The Unbearable Lightness of Being"""
68586,4199,11/28/2002,Jeopardy!,SAFARI SO GOOD,200,13,6,11.57,2,False,,"In ""The Spider Sapphire Mystery"" this girl detective goes on safari in Africa",Nancy Drew
87844,5116,12/4/2006,Jeopardy!,ON FOOT,400,14,5,9.97,3,False,,A tennis player who steps on the baseline while serving is guilty of this,a foot fault
50838,5085,10/20/2006,Jeopardy!,FAMOUS CANADIANS,200,14,4,8.84,2,False,,"A native of Cardston, Alberta, she went native co-starring with King Kong in 1933",Fay Wray
103938,4858,10/26/2005,Jeopardy!,THE SMALL STUFF,200,15,5,9.64,2,False,,The smallest exhibited animal in NYC's Central Park Zoo is the leaf-cutter type of this,an ant
50705,6090,2/18/2011,Double Jeopardy!,"""OP"" CULTURE",800,7,3,10.75,2,False,,The yield in a single growing season,a crop
15624,6172,6/14/2011,Jeopardy!,HISTORICAL QUOTATIONS,600,24,6,8.77,3,False,,"Article 40 of this 1215 document stated, ""To no one will we sell, to no one will we refuse or delay right or justice""",the Magna Carta
36980,5626,2/9/2009,Double Jeopardy!,MAKE YOUR WAY TO NORWAY,800,19,4,7.9,1,False,,"Oslo is no longer named for the IV king of this name, but a city of 65,000 still is",Christian
16901,5452,4/29/2008,Double Jeopardy!,"NORTH, CENTRAL & SOUTH AMERICAN LEADERS",1200,15,9,13.85,1,False,,Sandinista Daniel Ortega is having his second run as president of this Central American country,Nicaragua
66245,4172,10/22/2002,Jeopardy!,TOOLS,800,20,7,10.16,1,False,,"A rotary tool used to finish holes, it's also a kitchen tool to get the juice out of an orange",reamer
30771,4244,1/30/2003,Double Jeopardy!,HISTORY,400,14,3,7.71,1,False,,"Stone tools were first used during this period known as the ""Old Stone Age""",Paleolithic
17393,6060,1/7/2011,Jeopardy!,THE NATIONAL INVENTORS HALL OF FAME,1000,7,2,8.5,1,False,,For improvements in the condensing of milk,Borden
63,5957,7/6/2010,Jeopardy!,RHYMES WITH SMART,400,10,2,7.29,2,False,,"Small, slender missile thrown at a board in a game",a dart
78684,4891,12/12/2005,Double Jeopardy!,MYTHOLOGY,400,21,5,8.73,2,False,,This creature who had the head & wings of an eagle & the body of a lion guarded the Scythians' gold,a griffin
72408,5780,10/30/2009,Jeopardy!,DROP OUT,800,13,5,10.81,3,False,,This fur mogul & high school dropout has been called America's first multimillionaire,(John Jacob) Astor
72637,5303,10/3/2007,Jeopardy!,IN THE NECK,800,13,7,12.78,2,False,,This gland makes its hormones by combining iodine with the amino acid tyrosine,a thyroid
26130,5058,9/13/2006,Jeopardy!,"OFF COURSE, OFF COURSE",400,24,6,8.77,2,False,,"On Oct. 12, 1492 he thought he'd reached Asia; in fact, the closest he ever got was an Aegean island as a young man",Christopher Columbus
61515,4928,2/1/2006,Double Jeopardy!,ITALIAN CUISINE,1200,19,6,10.05,1,True,http://www.j-archive.com/media/2006-02-01_DJ_03.jpg,A nice addition to any Italian meal is this Tuscan wine seen here in its distinctive packaging,Chianti
106708,5024,6/15/2006,Double Jeopardy!,ECONOMICS,800,15,8,13.35,2,False,,This alliterative new style of economics was promoted by Arthur Laffer & the Reagan administration,supply side
57259,5438,4/9/2008,Double Jeopardy!,FILMS OF THE '40s,800,20,6,9.37,2,False,,"At the end of 1949's ""In the Good Old Summertime"", Liza Minnelli made her screen debut as this woman's daughter",Judy Garland
80663,5377,1/15/2008,Double Jeopardy!,"""RH"" FACTOR",1600,1,0,0.05,1,False,,Maybe,perhaps
83814,4670,12/17/2004,Double Jeopardy!,"""A"" PLUS",1600,16,6,10.35,1,False,,"The large dino known as a Brontosaurus has been reclassified with this name meaning ""deceptive lizard""",Apatosaurus
107443,5801,11/30/2009,Double Jeopardy!,JORDAN WITH QUEEN RANIA,1200,37,15,11.63,3,True,http://www.j-archive.com/media/2009-11-30_DJ_13.jpg,(Queen Rania of Jordan presents the clue.)  Wadi Rum in southern Jordan is where Prince Faisal & this British officer played an important role in the Arab revolt against the Ottoman Empire in 1917,Lawrence of Arabia
8006,5110,11/24/2006,Double Jeopardy!,BEFORE & AFTER,2000,17,6,10.05,4,False,,A separate price for each dish on the menu is granted another French term for unconditional authority,a la carte blanche
72147,4972,4/4/2006,Jeopardy!,GEOGRAPHIC CINEMA,800,4,1,9.05,2,False,,"1931: ""Sidewalks of ___""",New York
80149,5489,6/19/2008,Double Jeopardy!,"CROSSWORD CLUES ""L""",800,4,2,11.73,2,False,,Female rent collector (8),a landlady
101814,5725,6/26/2009,Jeopardy!,ANIMAL WORDS,800,6,2,9.2,1,False,,"To complain peevishly, or a fish",carp
14842,4561,6/7/2004,Jeopardy!,"CROSSWORD CLUES ""S""",600,4,2,11.73,1,False,,Teacher's long vacation (10),sabbatical
20600,4207,12/10/2002,Double Jeopardy!,PAINTINGS,400,10,6,13.61,3,False,,"It's the English translation of da Vinci's masterpiece ""L'Ultima Cena""","""The Last Supper"""
18442,6104,3/10/2011,Jeopardy!,4 LETTERS IN LENGTH,400,15,5,9.97,2,False,,It comes from an old Roman unit & Jim Ryun got famous by running it,a mile
6524,4698,1/26/2005,Double Jeopardy!,YOU'VE GOT COMPANY,800,11,5,11.36,1,False,,This company introduced its popular peanut butter cup in the 1920s,Reese's
115527,5373,1/9/2008,Double Jeopardy!,5-SYLLABLE WORDS,1200,11,2,7.05,1,False,,"It's what's symbolized by ""X"" in the ""10X"" on a microscope",magnification
25213,5411,3/3/2008,Jeopardy!,7-LETTER WORDS,600,6,1,7.04,1,False,,"It precedes ""Man March"" & ""-aire""",million
100843,5664,4/2/2009,Jeopardy!,THE PLAY'S THE THING,400,16,5,9.64,5,False,,Don't fear!  This 1962 Edward Albee play won the New York Drama Critics Circle Award,Who's Afraid of Virginia Woolf?
63081,5514,7/24/2008,Jeopardy!,SCRIPPS INSTITUTION OF OCEANOGRAPHY,1000,43,15,10.55,2,True,http://www.j-archive.com/media/2008-07-24_J_30.jpg,(Sarah of the Clue Crew holds up a big popsicle from UC San Diego's Scripps Institution of Oceanography.)  It's 10 below in a special locker where ancient air helps us understand climate change using ice cylinders from Antarctica called these,core samples
33424,6208,9/21/2011,Double Jeopardy!,RABBIT STEW,800,12,7,13.44,1,False,,"In commercials the silly rabbit does manage to pronounce this cereal ""abso-fruitalicious""",Trix
17160,6016,11/8/2010,Jeopardy!,CITY BY HOTELS,800,5,5,19.67,3,False,,"Excelsior Copacabana Hotel, Ipanema Plaza",Rio de Janeiro
16013,4105,6/7/2002,Jeopardy!,I MADE IT THROUGH THE REIGN,200,17,1,5.41,1,False,,"For 164 years, 1610 to 1774, France was ruled by just 3 kings, all of this name",Louis
34014,5022,6/13/2006,Jeopardy!,COLORFUL PHRASES,200,10,4,10.45,4,False,,To be so angry that your chromatic vision is affected,to be seeing red
1352,5282,7/24/2007,Jeopardy!,CHECK OUT MY CRIB,400,20,4,7.9,3,False,,"Sit down in this chair with an X-shaped frame & a canvas seat, perfect for yelling, ""Quiet on the set!""",a director's chair
44153,5252,6/12/2007,Jeopardy!,LIVING LYRICS,800,4,2,11.73,7,False,,It's where Luka lived,(upstairs from you) on the second floor
109553,6051,12/27/2010,Jeopardy!,"""POWER"" LIFTING",400,19,6,9.09,2,False,,A nation with the ability to exert its influence worldwide; some say the U.S. is the only one now,a superpower
2466,5796,11/23/2009,Double Jeopardy!,A JOURNEY THROUGH ISRAEL,800,39,9,8.48,4,True,http://www.j-archive.com/media/2009-11-23_DJ_22.wmv,"(Sarah of the Clue Crew is in a boat.)  You can ride in a boat reminiscent of Jesus' time on this sea, beside which he preached and performed miracles like the one of the loaves & fishes",the Sea of Galilee
57705,4360,7/11/2003,Jeopardy!,"HISTORIC HOPEWELL, VIRGINIA",1000,19,8,11.23,1,False,,Hopewell got a major boost in its development when this Delaware chemical company started a factory there in 1914,DuPont
20027,5595,12/26/2008,Jeopardy!,"""MO"" BETTER",600,17,7,10.98,1,False,,This word was suggested by Marcel Duchamp for art in a 1932 exhibit that included Alexander Calder,mobiles
35469,4174,10/24/2002,Jeopardy!,NUMERIC TV,200,13,4,9.5,1,False,,"Correspondents for this ABC show include Chris Wallace, Lynn Sherr & John Stossel",20/20
24051,4965,3/24/2006,Double Jeopardy!,TAKE ME TO YOUR LEADER,800,12,6,12.13,1,False,,"Though his Fatah party lost in 2006 Palestinian elections, he remained president",Abbas
19290,5183,3/7/2007,Jeopardy!,"TELL ME ""Y""",200,12,3,8.18,2,False,,It's the primary source of nourishment for an embryo in an egg,a yolk
1338,5145,1/12/2007,Double Jeopardy!,DOUBLE MEANINGS,1600,20,5,8.92,1,False,,Chairman Mao was very resourceful when he built a seaworthy _____ out of a lot of old _____ lying around,junk
64666,4350,6/27/2003,Double Jeopardy!,18th CENTURY NOVELS,400,17,6,10.05,2,False,,"Not only was Friday saved from death by the hero in this novel, so was his father","""Robinson Crusoe"""
112384,4326,5/26/2003,Jeopardy!,THE CANINE FILM FESTIVAL,800,17,4,7.77,2,False,,Steve Buscemi complains that he doesn't want to be called Mr. Pink in this 1992 Tarantino flick,Reservoir Dogs
